birth,brand,code,explain,firm_import,firm_madein,image_link,made_in,material,material2,now_price,origin_price,product,star_score,target
2019-10-15,FREAKS,300778717,Cape Wool 100% Shirts-Dress_JET BLACK,FREAKS,FREAKS / KOREA,nan,KOREA,WOOL 100%,WOOL 100%,"241,200","268,000",MINIS,0,WOMEN
2019-10-25,FREAKS,300778733,MInimal Tailored Loose Fit Wool Coat_BLUE-NAVY,FREAKS,FREAKS / KOREA,nan,KOREA,WOOL 80% NYLON 20%,WOOL 80% NYLON 20%,"294,400","368,000",COAT,0,WOMEN
2019-10-25,FREAKS,300778734,MInimal Tailored Loose Fit Wool Coat_BROWN-GREY,FREAKS,FREAKS / KOREA,nan,KOREA,WOOL 80% NYLON 20%,WOOL 80% NYLON 20%,"294,400","368,000",COAT,0,WOMEN
2019-07-11,FLEXXION,300707700,[UNISEX] SUMMER BREEZE PANTS,플렉션 FLEXXION,플렉션 FLEXXION / KOREA,nan,KOREA,POLYESTER 100%,POLYESTER 100%,"62,300","89,000",WIDE LEG,0,WOMEN
2019-10-25,FREAKS,300778735,MInimal Tailored Loose Fit Wool Coat_ORCHID HAZE,FREAKS,FREAKS / KOREA,nan,KOREA,WOOL 80% NYLON 20%,WOOL 80% NYLON 20%,"294,400","368,000",COAT,0,WOMEN
2019-10-16,FREAKS,300778718,Unisex ITALY WOOL Knit Combi Oversize Coat_BLUE,FREAKS,FREAKS / KOREA,nan,KOREA,"WOOL 60%, ACRYLIC 40%","WOOL 60%, ACRYLIC 40%","238,400","298,000",COAT,0,WOMEN
2018-06-11,FREIHEIT,300485399,LOGO CROP T-SHIRT (VIOLET),FREIHEIT,FREIHEIT / KOREA,nan,KOREA,COTTN57.5 MODAL37.5 SPAN5,COTTN57.5 MODAL37.5 SPAN5,"14,000","35,000",SHORT-SLEEVE TEE,0,WOMEN
2019-10-08,FREIHEIT,300781799,SLIT POINT SWEATSHIRT (GRAY),FREIHEIT,FREIHEIT / KOREA,nan,KOREA,COTTON100,COTTON100,"52,000","65,000",LONG-SLEEVE TEE,0,WOMEN
2019-10-08,FREIHEIT,300781805,2WAY HOODIE,FREIHEI,FREIHEI / KOREA,nan,KOREA,COTTON100,COTTON100,"94,400","118,000",HOODIES,0,WOMEN
2019-05-31,FREIHEIT,300685749,TRIKOT TWOPIECE TOP (YELLOW),FREIHEIT,FREIHEIT / KOREA,nan,KOREA,"POLY50, NYLON50","POLY50, NYLON50","34,200","57,000",SHIRTS,0,WOMEN
2019-12-22,FLEXXION,300833469,FLEXXYOURMIND TEE _grey,플렉션 FLEXXION,플렉션 FLEXXION / KOREA,nan,KOREA,COTTON 100%,COTTON 100%,nan,"42,000",SHORT-SLEEVE TEE,0,WOMEN
2019-12-24,Fleno Seoul,300835192,OVERSIZE DUMBLE PULLOVER IVORY,Fleno Seoul ,Fleno Seoul/ KOREA,nan,KOREA,"A LEATHER 100%, POLYESTER 100%","A LEATHER 100%, POLYESTER 100%","260,100","289,000",JACKET,0,WOMEN
2019-11-13,Fleno Seoul,300835189,TRANSFORMER DANCING SWEAT SHIRTS WHITE,Fleno Seoul ,Fleno Seoul/ KOREA,nan,KOREA,기능성 스판 기모지 100%,기능성 스판 기모지 100%,"161,100","179,000",LONG-SLEEVE TEE,0,WOMEN
2019-12-24,Fleno Seoul,300835191,OVERSIZE DUMBLE PULLOVER GREY,Fleno Seoul ,Fleno Seoul/ KOREA,nan,KOREA,"A LEATHER 100%, POLYESTER 100%","A LEATHER 100%, POLYESTER 100%","260,100","289,000",JACKET,0,WOMEN
2020-01-17,Fleno Seoul,300833962,CUT OFF LEATHER SKIRT,Fleno Seoul ,Fleno Seoul/ KOREA,nan,KOREA,"A LEATHER 100%, POLYESTER 100%","A LEATHER 100%, POLYESTER 100%","143,100","159,000",LONG SKIRT,0,WOMEN
2010-10-01,Fleno Seoul,300839666,MAXI CASHMERE COAT,Fleno Seoul ,Fleno Seoul/ KOREA,nan,KOREA,CASHMERE 100%,CASHMERE 100%,"475,000","525,000",COAT,0,WOMEN
2019-05-21,FLARE UP,300696537,shipon lace T-shirt (FU-142_white),FLARE / FLARE UP,FLARE / FLARE UP / KOREA,nan,KOREA,100% COTTON,100% COTTON,"35,800","39,000",SHORT-SLEEVE TEE,0,MEN
2019-01-31,FLARE UP,300696569,over cardigan (FL-190_RE),플레어업,플레어업 / KOREA,nan,KOREA,100% ACRYLIC,100% ACRYLIC,"69,000","85,000",CARDIGAN,0,WOMEN
2019-05-21,FLARE UP,300696538,shipon lace T-shirt (FU-142_orange),FLARE / FLARE UP,FLARE / FLARE UP / KOREA,nan,KOREA,100% COTTON,100% COTTON,"35,800","39,000",SHORT-SLEEVE TEE,0,MEN
2019-05-21,FLARE UP,300696539,shipon lace T-shirt (FU-142_violet),FLARE / FLARE UP,FLARE / FLARE UP / KOREA,nan,KOREA,100% COTTON,100% COTTON,"35,800","39,000",SHORT-SLEEVE TEE,0,MEN
2019-01-31,FLARE UP,300696570,over double long coat RE (FL-009),플레어업,플레어업 / KOREA,nan,KOREA,"90% WOOL , 10% Nylon","90% WOOL , 10% Nylon","195,000","268,000",COAT,0,WOMEN
2019-09-25,filobisknot,300759976,V-NECK SEMI OVER KNITWEAR_IVORY,filobisknot,filobisknot / KOREA,nan,KOREA,"COTTON 60% , ACRYLIC 40%","COTTON 60% , ACRYLIC 40%","74,400","93,000",PULLOVER,0,MEN
